id,zone,in_type,in_number,in_channel,modifier,grid_mode,action,target,slot,transport,control_path,value_type,value,led_state_source,led_palette,notes
PAD_S1_T1_CLIP,GRID_CLIP,note,92,1,,SESSION,clip_connect,LAYER3,bank*16+1,osc,/composition/layers/{L3}/clips/{bank*16+1}/connect,int,1,clip.connected[L3][bank*16+1],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row A. Resolume connected is 0-4, not 0/1."
PAD_S1_T1_CLIPSEL,GRID_CLIP,note,92,1,SELECT,SESSION,clip_select,LAYER3,bank*16+1,osc,/composition/layers/{L3}/clips/{bank*16+1}/select,int,1,,,Select in Resolume UI without connecting
PAD_S1_T2_CLIP,GRID_CLIP,note,93,1,,SESSION,clip_connect,LAYER3,bank*16+2,osc,/composition/layers/{L3}/clips/{bank*16+2}/connect,int,1,clip.connected[L3][bank*16+2],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row A. Resolume connected is 0-4, not 0/1."
PAD_S1_T2_CLIPSEL,GRID_CLIP,note,93,1,SELECT,SESSION,clip_select,LAYER3,bank*16+2,osc,/composition/layers/{L3}/clips/{bank*16+2}/select,int,1,,,Select in Resolume UI without connecting
PAD_S1_T3_CLIP,GRID_CLIP,note,94,1,,SESSION,clip_connect,LAYER3,bank*16+3,osc,/composition/layers/{L3}/clips/{bank*16+3}/connect,int,1,clip.connected[L3][bank*16+3],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row A. Resolume connected is 0-4, not 0/1."
PAD_S1_T3_CLIPSEL,GRID_CLIP,note,94,1,SELECT,SESSION,clip_select,LAYER3,bank*16+3,osc,/composition/layers/{L3}/clips/{bank*16+3}/select,int,1,,,Select in Resolume UI without connecting
PAD_S1_T4_CLIP,GRID_CLIP,note,95,1,,SESSION,clip_connect,LAYER3,bank*16+4,osc,/composition/layers/{L3}/clips/{bank*16+4}/connect,int,1,clip.connected[L3][bank*16+4],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row A. Resolume connected is 0-4, not 0/1."
PAD_S1_T4_CLIPSEL,GRID_CLIP,note,95,1,SELECT,SESSION,clip_select,LAYER3,bank*16+4,osc,/composition/layers/{L3}/clips/{bank*16+4}/select,int,1,,,Select in Resolume UI without connecting
PAD_S1_T5_CLIP,GRID_CLIP,note,96,1,,SESSION,clip_connect,LAYER3,bank*16+5,osc,/composition/layers/{L3}/clips/{bank*16+5}/connect,int,1,clip.connected[L3][bank*16+5],OFF|L3_DIM|L3_MID|L3_FULL,"Layer band 3, row A. Resolume connected is 0-4, not 0/1."
PAD_S1_T5_CLIPSEL,GRID_CLIP,note,96,1,SELECT,SESSION,clip_select,LAYER3,bank*16+5,osc,/composition/layers/{L3}/clips/{bank*16+5}/select,int,1,,,Select in Resolume UI without connecting
